feature,importance_normalized,importance_scaled,n_models
item_R509,0.0072327564082505635,0.0062922397624491245,3
item_96376,0.007211362984786304,0.006273628248086057,3
item_G5601,0.007203354590504724,0.006266661231075163,3
item_METRONIDAZOLE,0.007189936719166614,0.006254988162220699,3
item_20551,0.00718218249407862,0.006248242263330753,3
item_71046,0.0071815124625538886,0.006247659359833935,3
item_76536,0.007181336327025431,0.006247506128214731,3
item_LEVETIRACETAM,0.007167481844886164,0.006235453223556503,3
item_Z01818,0.007157733696075934,0.006226972682239775,3
item_LATUDA,0.007145966396141895,0.0062167355515578724,3
item_Z041,0.0071456024582297675,0.006216418938572104,3
item_FLUOXETINE HYDROCHLORIDE,0.007143777243900877,0.006214831067292196,3
item_99238,0.007129075591079176,0.006202041154396345,3
item_84520,0.007128244393840612,0.006201318042484409,3
item_83690,0.007126903617178768,0.006200151614673486,3
item_99221,0.007104705905664342,0.006180840398431347,3
item_MIRTAZAPINE,0.007095153442728021,0.006172530096836138,3
item_SPIRONOLACTONE,0.007083520162412278,0.006162409558435739,3
item_TRAMADOL HCL,0.007031295822912974,0.006116976248226326,3
item_J2270,0.007024851773511032,0.006111370155391258,3
item_Z5181,0.007009261835819478,0.0060978074663830956,3
item_L03311,0.006943071447555396,0.006040224192535782,3
item_72100,0.0069421382507886785,0.006039412344677194,3
item_99220,0.0069323003756824484,0.006030853744687456,3
item_J209,0.006931569932218859,0.0060302182849613995,3
item_J2250,0.006930908201912101,0.0060296426032277455,3
item_G0444,0.006928320035666612,0.006027390991028679,3
item_96365,0.006912390334745648,0.00601353272014533,3
item_BUSPIRONE HCL,0.00690589738192781,0.006007884083084983,3
item_87804,0.006905083394257459,0.006007175942882767,3
item_F259,0.006897559225934004,0.0060006301851616576,3
item_Z111,0.006895205431874561,0.005998582468394016,3
item_64450,0.006876394199760336,0.0059822173682843585,3
item_J029,0.006857669886755082,0.005965927884695251,3
item_AZITHROMYCIN,0.006856632021536533,0.0059650249790217285,3
item_CYCLOBENZAPRINE HYDROCHLO,0.0068415210079046385,0.0059518789368410395,3
item_86762,0.0068362317140546434,0.005947277440094895,3
item_H2022,0.006833696900688302,0.005945072242995227,3
item_N979,0.006833696900688302,0.005945072242995227,3
item_O26891,0.006828927900792574,0.005940923383407368,3
item_94640,0.006826187848028784,0.005938539635361899,3
item_DISULFIRAM,0.006806079346493618,0.005921045957187073,3
item_87624,0.006805852043977639,0.005920848212116118,3
item_M533,0.006803034838042508,0.005918397343567052,3
item_72072,0.006800962515576542,0.005916594497033178,3
item_METFORMIN HYDROCHLORIDE E,0.0067798700625495475,0.005898244816201587,3
