feature,importance_normalized,importance_scaled
item_87633,0.14134229479613455,0.03077407236697657
item_87651,0.14134229479613455,0.03077407236697657
item_87798,0.14134229479613455,0.03077407236697657
item_87807,0.14134229479613455,0.03077407236697657
item_88305,0.14134229479613455,0.03077407236697657
item_87077,0.14134229479613455,0.03077407236697657
item_87172,0.14134229479613455,0.03077407236697657
item_87340,0.14134229479613455,0.03077407236697657
item_86580,0.14134229479613455,0.03077407236697657
item_86592,0.14134229479613455,0.03077407236697657
item_86703,0.14134229479613455,0.03077407236697657
item_86706,0.14134229479613455,0.03077407236697657
item_86738,0.14134229479613455,0.03077407236697657
item_86803,0.14134229479613455,0.03077407236697657
item_87040,0.14134229479613455,0.03077407236697657
item_85652,0.14134229479613455,0.03077407236697657
item_86141,0.14134229479613455,0.03077407236697657
item_86480,0.14134229479613455,0.03077407236697657
item_90792,0.14134229479613455,0.03077407236697657
item_90833,0.14134229479613455,0.03077407236697657
item_H66003,0.14134229479613455,0.03077407236697657
item_H6642,0.14134229479613455,0.03077407236697657
item_H6643,0.14134229479613455,0.03077407236697657
item_H5043,0.14134229479613455,0.03077407236697657
item_H5203,0.14134229479613455,0.03077407236697657
item_H5213,0.14134229479613455,0.03077407236697657
item_H53023,0.14134229479613455,0.03077407236697657
item_H60333,0.14134229479613455,0.03077407236697657
item_H6121,0.14134229479613455,0.03077407236697657
item_H6523,0.14134229479613455,0.03077407236697657
item_J393,0.14134229479613455,0.03077407236697657
item_J45909,0.14134229479613455,0.03077407236697657
item_R6889,0.14134229479613455,0.03077407236697657
