feature,importance_normalized,importance_scaled,n_models,models
item_FLUOXETINE HYDROCHLORIDE,0.010230771165447615,0.0012243536659962055,3,"catboost,xgboost,xgboost_rf"
item_BD INSULIN SYRINGE ULTRA-,0.01018375883331021,0.0012187275288977764,3,"catboost,xgboost,xgboost_rf"
item_LORATADINE,0.010139816218342819,0.0012134687560390414,3,"catboost,xgboost,xgboost_rf"
item_IPRATROPIUM BROMIDE,0.010086193099283337,0.0012070514819801357,3,"catboost,xgboost,xgboost_rf"
item_JANUVIA,0.009968959879431616,0.0011930217553660996,3,"catboost,xgboost,xgboost_rf"
item_METOCLOPRAMIDE HYDROCHLOR,0.009924442657395007,0.00118769421718554,3,"catboost,xgboost,xgboost_rf"
item_PROSOL,0.009881513876503512,0.0011825567735450487,3,"catboost,xgboost,xgboost_rf"
item_BD PEN NEEDLE/NANO/ULTRA,0.009871985155897708,0.0011814164368277767,3,"catboost,xgboost,xgboost_rf"
item_CLOTRIMAZOLE,0.009817771931752388,0.0011749285427429233,3,"catboost,xgboost,xgboost_rf"
item_PAROXETINE HCL,0.009781194586050741,0.0011705511984960429,3,"catboost,xgboost,xgboost_rf"
item_VANCOMYCIN HYDROCHLORIDE,0.00973393014573548,0.0011648948906932948,3,"catboost,xgboost,xgboost_rf"
item_BACITRACIN ZINC,0.009670512014628289,0.0011573054118499061,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_CARBAMAZEPINE,0.009574799239960482,0.001145851115330894,3,"catboost,xgboost,xgboost_rf"
item_VANCOMYCIN HCL,0.009565306477329928,0.0011447150818355495,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_COMBIVENT RESPIMAT,0.009550065412222601,0.001142891128036166,3,"catboost,xgboost,xgboost_rf"
item_HALOPERIDOL LACTATE,0.009543131605056841,0.0011420613340660515,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_SUPREP BOWEL PREP KIT,0.009438298137839684,0.0011295155310341249,3,"catboost,xgboost,xgboost_rf"
item_VALSARTAN/HYDROCHLOROTHIA,0.009371165375921175,0.0011214815087855412,3,"catboost,xgboost,xgboost_rf"
item_GLIPIZIDE ER,0.009285414983894177,0.0011112194468997816,3,"catboost,xgboost,xgboost_rf"
item_COLCHICINE,0.009167753875599625,0.001097138513316579,3,"catboost,xgboost,xgboost_rf"
item_ASPIRIN,0.009157713580152549,0.0010959369545738883,3,"catboost,xgboost,xgboost_rf"
